ID,Name,Description,Editorial Notes
annotation,Annotation,,
bibliographic_references_management,Bibliographic References Management,,
commenting,Commenting,,
endorsement,Endorsement,,
helpdesk,Help Desk,,
indexing,Indexing,,
peer review,Peer Review,,
plagiarism_detection,Plagiarism Detection,,
revision,Revision,,
revision_follow_up,Revison Follow-up,,
search_engine,Search engine,,
comms_social_networking,Communications and Social Networking,,
text_mining,Text Mining,,
usage_metrics,Usage Metrics,,
user_forum,User Forum,,
writing,Writing,,
