ID,Name,Description
annotation,Annotation,
bibliographic_references_management,Bibliographic References Management,
commenting,Commenting,
comms_social_networking,Communications and Social Networking,
communication_and_sharing,Communication And Sharing,
data_and_code_sharing,Data And Code Sharing,
endorsement,Endorsement,
general_publication,General Publication,
helpdesk,Help Desk,
manuscript_formatting,Manuscript Formatting,
peer review,Peer Review,
plagiarism_detection,Plagiarism Detection,
researcher_identification,Researcher Identification,
revision,Revision,
revision_follow_up,Revison Follow-up,
search,Search or Indexing,
text_mining,Text Mining,
usage_metrics,Metrics,
user_forum,User Forum,
writing,Writing,
