Repository ID,Service ID,Feature ID,Description,Editorial Notes
aas_open_research,altmetric,usage_metrics,,
aas_open_research,europe_pmc,indexing,,
aas_open_research,google_scholar,indexing,,
aas_open_research,inspire_hep,indexing,,
aas_open_research,nasa_ads,indexing,,
aas_open_research,pre_pubmed,indexing,,
aas_open_research,scilit,indexing,,
aas_open_research,share,indexing,,
advance_sage_preprint,crossref,indexing,,
advance_sage_preprint,google_scholar,indexing,,
africarxiv,google_scholar,indexing,,
africarxiv,hypothes_is,endorsement,,
africarxiv,microsoft_academic_search,indexing,,
africarxiv,peer_community_in,peer review,,
africarxiv,plaudit,endorsement,,
africarxiv,scienceopen,peer review,,
africarxiv,share,indexing,,
africarxiv,unpaywall,indexing,,
agecon_search,europe_pmc,indexing,,
agecon_search,google_scholar,indexing,,
agecon_search,matomo,usage_metrics,,
agecon_search,pre_pubmed,indexing,,
agecon_search,scilit,indexing,,
agrirxiv,crossref,indexing,,
agrirxiv,google_scholar,indexing,,
agrirxiv,plumx_metrics,usage_metrics,,
agrirxiv,reasearcher_app,indexing,,
amrc_open_research,altmetric,usage_metrics,,
amrc_open_research,europe_pmc,indexing,,
amrc_open_research,google_scholar,indexing,,
amrc_open_research,pre_pubmed,indexing,,
amrc_open_research,scilit,indexing,,
apsa_preprints,altmetric,usage_metrics,,
apsa_preprints,google_scholar,indexing,,
apsa_preprints,ithenticate,plagiarism_detection,,
arabixiv,google_scholar,indexing,,
arabixiv,hypothes_is,commenting,,
arabixiv,microsoft_academic_search,indexing,,
arabixiv,plaudit,endorsement,,
arabixiv,share,indexing,,
arabixiv,unpaywall,indexing,,
arpha_preprints,altmetric,usage_metrics,,
arpha_preprints,google_scholar,indexing,,
arpha_preprints,microsoft_academic_search,indexing,,
art_dok,google_scholar,indexing,,
art_dok,microsoft_academic_search,indexing,,
art_dok,share,indexing,,
art_dok,unpaywall,indexing,,
arxiv,google_scholar,indexing,,
arxiv,microsoft_academic_search,indexing,,
arxiv,peer_community_in,peer review,,
arxiv,unpaywall,indexing,,
authorea,manuscripts_io,writing,Links to Online LaTeX editor. For longer text (Master Theses and Ph.D. Dissertations) use  Manuscripts.io,
beilstein_archive,manuscripts_io,writing,Links to Online LaTeX editor. For longer text (Master Theses and Ph.D. Dissertations) use  Manuscripts.io,
bepress_legal_repository,google_scholar,indexing,,
biohackrxiv,google_scholar,indexing,,
biohackrxiv,hypothes_is,commenting,,
biohackrxiv,microsoft_academic_search,indexing,,
biohackrxiv,plaudit,endorsement,,
biohackrxiv,share,indexing,,
