ID,Full Name,Last Update,Accepted Content Types,Certificate or Labels,Closure Date,Contact,Description,Disciplinary Scope,Keywords,Launch Date,OAI-PMH URL,OpenDOAR ID,Platform,Platform Languages,Record Count,Repository Type,Service Pricing,Short Name,Status,Terms of Use,URL,Accessibility Of Conflict Of Interest Procedures,Business Model,Funding,Objectives,Owner Country,Owner Full Name,Owner Short Name,Owner URL,Ownership Type,Scientific/Technical Committees,User Committees,Access to content,Access to metadata,Account Creation,Backups,Functional Description,Interoperability,Metadata Format(s),Metadata Languages,Metadata Properties,Method For Re-use Of Metadata,Open Source?,Permission For Re-use Of Metadata,Persistence of Content,Preservation Policy,Academic Applicant Only,Accepted Content Formats,Accepted Content Languages,Accepted Content Level,Accepted Supplementary Content,Associated Editor,Associated Journal,Author PID,Availability of Associated Content,Journal Submission,Licensing,Mechanisms To Report Concerns About Content,Mechanisms To Report Concerns About Plagiarism,Moderation,Peer-review Status Indication,Persistent Identifier,Text Embargo,Time from submission to posting,Versioning Policy,Who Can Deposit?,Withdrawal Policy,Withdrawal Authorisation,Remining Indrawn Item,Editorial Notes,
aas_open_research,AAS Open Research,2022-02-11,"All article types (primary and scecondary research), posters and slides, Preprints",None,,info@aasopenresearch.org,"AAS Open Research is a platform for rapid publication and open peer review for researchers supported by the AAS and programs supported through its funding platform, AESA.",All scientific fileds,"Africa, F1000 Research",2018,,,,English,Full text : 111,Multidisciplinary,None,,Open,Yes,https://aasopenresearch.org/,No,Nonprofit,"Article processing charges, covered by funding agency","AAS Open Research is an innovative open access platform to enable African Academy of Sciences-funded and -affiliated researchers to publish immediately, without barriers and with the benefit of transparent peer review. Powered by F1000, AAS Open Research seeks to reinforce African research on a global stage, promoting the engagement of researchers worldwide.",Kenya,African Academy of Sciences,AAS,https://www.aasciences.africa/,Funding organisation (funder),Yes : includes researchers , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,Yes via FAQ,No,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Author affiliation(s), Funder acknowledgement(s), Subject category, Full-text content, Institution, Competing interests, Referee (name, affiliation, referee report), Commenter (name, text, affiliation), Study type, article type",Available for free upon request,No,Request to platform or author needed,Preprints permanently archived in Portico,,Yes,"Word Doc, RTF",English (articles); Accepts posters and slides in all languages (metadata and description must be in English),Research only,"Supplementary data must be deposited in an approved repository and included in the article’s Data Availability section as “Extended data”. You can associate figures and tables to your article : All figures and tables must be cited and discussed in the article text, and their titles and legends should be provided in the revised/updated manuscript.",No,AAS Open Research,ORCID,"If your article contains data or source code that has been deposited in a repository (e.g. GitHub, Zenodo, Figshare), please ensure the repository is up to date and reflects the revisions made in the new version of the article.",Restricted - manuscript can only be published in journal linked to server,Authors must use CC BY license,Community moderation via commenting,Email administrator,"Data is available (if applicable), Code is available (if applicable), All authors notified, One author affiliated with AAS, Legal compliance, Ethical compliance",Yes,"DOI, each version receives its own DOI and own non-DOI citable identifier","No, only if the publisher imposes an embargo period",Up to 1 week,Accepts new version. All version are archieved and visible for readers.,At least one of the authors must be affiliated with the African Academy of Sciences,Yes,Platform,Basic information remains on a tombstone page,Powered by F1000 Research,
advance_sage_preprint,Advance (Sage preprint),2022-02-11,"Journal articles, literature reviews, commentaries, and case studies, Preprints",None,,advance@sagepub.com,Advance: a SAGE preprints community allows researchers within the fields of humanities and social sciences to post their work online and free of charge.,Humanities and social sciences,"Social Sciences, Humanities, SAGE",,,,,English,Full text : 1 058,Disciplinary,None,,Open,Yes,https://advance.sagepub.com/,No,Nonprofit,Internal funding,"Our mission is building bridges to knowledge — supporting the development of ideas through the research process to scholarship that is certified, taught, and applied.",The United States of America,SAGE Publishing,SAGE,https://us.sagepub.com/en-us/nam,Publishing organisation (publisher),Yes : includes researchers , ,Anyone may access full items free of charge,,Only needed for submission,,Yes : Tutorials via Google Doc,,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Author affiliation(s), Funder acknowledgement(s), License type(s), Subject category, Full-text content, References",,No,,,,Yes,Word doc and PDF,English,Research only,"Your paper may include all of your tables and figures, or you can choose to upload them as separate files.",SAGE publishing,SAGE journals,ORCID,"Additional data and supplementary materials can also be uploaded alongside your paper. If you have your data stored in a publicly available online data repository (for example, Figshare Data Repository), you can include a link to the data set in the ""References"" field.",Unrestricted but submission is facilitated : You can easily transfer your preprint from Advance to the SAGE journal of your choice.,"Authors are provided with a choice of licenses: CC-BY, CC-BY-SA, CC-BY-ND, CC-BY-NC, CC-BY-NC-SA and CC-BY-NC-ND",Email administrator,No,"Advance undergo a moderation process to ensure that the paper is of a scholarly nature, is based in the social sciences or humanities, is written in English, and does not contain any inappropriate, confidential, harmful, or copyrighted materials used without permission. Papers reporting human studies must include a statement that specifies whether informed consent was obtained from study participants.",Yes,DOI,"No, only if the publisher imposes an embargo period",3 to 4 business days,Accepts new version. All version are available for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,It will be replaced with a public notice to provide a record of the removal,,
africarxiv,AfricArxiv,2022-02-11,"Research articles, Review papers, Project proposals, Case studies, ‘Negative’ results and ‘null’ results (i.e. results that do not support a hypothesis), Data and methods papers, Technical notes, Dataset description papers, Preprints",None,,info@africarxiv.org,"AfricArXiv is a community-led digital archive for African research, working towards building an African-owned open scholarly repository; a knowledge commons of African scholarly works to catalyze the African Renaissance.",All scientific fileds,"OSF, Figshare, Africa, African research",2018-06-01,,X,,English,"Full text (articles, theses): 248 (OSF), Zenodo (171), ScienceOpen (13), Figshare ( 2)",Decentralised/independent/aggregating open archive platform,None,,Open,Yes,https://info.africarxiv.org/,"Just like a published article, it’s important to ensure that all ethical requirements are met before making a preprint public. It is particularly important to check that your manuscript is free from patient information or other protected personal data.",Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,https://info.africarxiv.org/in-a-nutshell/,Germany,"Small group of enthusiasts, currently maintained and managed via Access 2 Perspectives ( Jo Havemann). For details and governance roadmap/vision see https://info.africarxiv.org/in-a-nutshell/",n/a,https://access2perspectives.org/,Academic community group,Yes : includes researchers To be announced ,No  ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,"Only needed for submission, via ORCID iD","The content is currently hosted by 3rd party services who take care of the backups, see table at https://info.africarxiv.org/submit/",https://info.africarxiv.org/submit/,"The content is currently hosted by 3rd party services who take care of the backups, see table at https://info.africarxiv.org/submit/",No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), Author affiliation(s), License type(s), Subject category",Openly available via API (OSF),Yes,None,"COS Preservation Fund to maintain read access for 50+ years, wscienceOpen via Clockss, Pubpub & Figshare via AWS, Zenodo via CERN",The content is currently hosted by 3rd party services and will thus continue to be online in case of closure,Yes,"PDF, Word doc, RTF, Open Office","Afrikaans, Akan, English, French, Igbo, Swahili, Zulu, other unspecified native African languages ( summary must be provided in English and French, non-English languages held in moderation queue awaiting verification",Research and Scholary content,With each manuscript you can add supplementary files in any format with unlimited storage.,No,No,ORCID,"You also can integrate files hosted using other services such as Figshare, Dropbox, or GitHub.",Unrestricted,Authors must use CC BY 4.0 license,Email administrator,Email administrator,"Beforehand : Akismet spam filtering (automatic on all OSF content), Content within scope",No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",3 to 5 business days,Accepts new version. All version are archieved and visible for readers.,"African scientists based on the African continent 
African scientists who are currently based at a host institute outside Africa. Non-African scientists who report on research conducted on African territory; preferably with African co-authors listed. Non-African scientists who report on research relevant to African affairs",Yes,At author's request with moderator approval,Basic information remains on a tombstone page (OSF),Powered by OSF preprint,
agecon_search,AgEcon Search,2022-02-11,"Conference papers and posters, Working papers and reports, Journal articles, books or book chapters, Theses or dissertations, pre-prints or post-prints of journal articles",None,,aesearch@umn.edu,"AgEcon Search is a free-to-user Web site that contains the full text of working papers, conference papers and journal articles in applied economics, including the subtopics of agricultural, consumer, energy, environmental, and resource economics.",Agricultural and applied economics,"Web Repository, agricultural economics, resource economics, development, trade, food security, energy economics, agribusiness",1995,,,,Advanced Search available in French (effective July 2021) with all six UK languages to be added.,Full text : 159 106,Disciplinary,There is a small charge per paper for groups that ask us to submit their papers. Charges are from 1 to 5 USD per paper depending on how much extra processing is involved,AES,Open,Yes,https://ageconsearch.umn.edu/?ln=en,Yes : Procedures are visible on the policies page,Nonprofit,"Internal, societies, donations, grants",AgEcon Search will serve as the permanent archive for this literature and encourages authors and organizations to use this electronic library as the storehouse for additional appropriate scholarly electronic works.,The United States of America,University of Minnesota,UMN,https://www.lib.umn.edu/,Academic institution,Yes : scientists are part of the advisory board  Five year terms,"Yes: Advisory Board, international representation Five year terms",Anyone may access full items free of charge,Anyone may access the metadata free of charge,"Free, Only needed for submission or for using Personalization features.","Yes : Content is backed by TIND daily and also locally at the University of Minnesota, and will be migrated to a new platform if necessary.","Yes, instructions are available on the website (https://ageconsearch.umn.edu/pages/?page=participate) and tutorials are also available on the University of Minnesota YouTube page (https://www.youtube.com/watch?v=C5sdvxkm7uk&list=PLsqxtHlAYQnbiWHghNSjsN3mhswZaRmu1).",Yes via API (for both read and write operations),MARC XML,English is default.  Metadata can be entered in any language.  Alternate Title field is available for alt/2nd language.,"Title, Authors, Subjects, Series, Volume, Issue, Page numbers, Dates, Language",Free,"Yes : TIND's products and services are built on the foundation of the Invenio digital library framework (https://inveniosoftware.org/), an open source technology born at CERN.",Not required,"Yes : AgEcon Search is committed to providing long-term access to the digital works it contains, and adheres to digital preservation best practices to ensure data accessibility, fixity, and usability in perpetuity","Yes : Content is backed up by TIND and also locally at the University of Minnesota, and will be migrated to a new platform if necessary.",Yes,"PDF; supplemental files may be in XLS, DOC, TXT, etc.","Any languages, title in english is required and abstract in english only if available",Research only,Supplementary data can be associated with the preprint,No,No,"Can be added by administrators, will soon be part of the submission process.",Files can be associated on the page,Unrestricted,"AgEcon Search does not hold the copyright to articles, working papers, conference papers, or other materials available in the repository. Authors of papers posted on AgEcon Search retain their copyrights. When authors have assigned or transferred rights to them, journal publishers hold copyrights to articles published in their journals which are contained in the AgEcon Search database.",Email administrator,Email administrator,Contributing organizations screen their content beforehand.,No,DOI,"No, only if the publisher imposes an embargo period",Immediate,Accepts new version. Only one version is visble for readers,"Only organizations can post on the website : Universities, professional associations, research institutes and Government agencies",Yes,Items in AgEcon Search may be withdrawn upon the request of the contributor.,"When an item is removed, the original citation along with a brief statement will appear in its place.",,
agrirxiv,AgriRxiv,2022-02-11,"Research articles, case studies, systematic reviews",None,,contact@agrirxiv.org,"agriRxiv (pronounced ‘agri-archive’) is a free, open access source of unpublished preprints across the agricultural sciences.","Agriculture, food, environment","Agriculture, food, environment",2017,,X,,English,Full text : 138,Disciplinary,None,,Open,Yes,https://agrirxiv.org/,"Yes, advisory board members commit to declaring 'any interests (financial and non-financial) that may influence, or may be perceived to influence, their input into agriRxiv and its plans'",Nonprofit,Supported by CABI,"We are committed to sharing knowledge. Knowledge is the application of information, augmented by experience. Knowledge enables people to support themselves and improve their lives when it is communicated effectively.",United Kingdom,Centre for Agriculture and Bioscience International,CABI,https://www.cabi.org/,"International, inter-governmental, organization",Yes advisory board is made up of active researchers and users Renewal of membership is based on regular discussion and confirmation of commitment,Yes advisory board is made up of active researchers and users Renewal of membership is based on regular discussion and confirmation of commitment,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,CABI takes a back up of its content every 24 hours,Yes guidance is supplied in the About section : https://agrirxiv.org/about/,No,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Available for free upon request,No,Request to platform or author needed,CABI commits to preserving availability of the content,CABI commits to preserving availability of the content,Yes,PDF,"Any language (including Arabic, English, French, Indonesian)","Research articles, case studies, systematic reviews","Authors should upload a single PDF file including their full article, tables and figures. We recommend data sets are deposited into a data repository such as CKAN, to which the preprint will be linked.",No,No,No,"Publishing data along with your paper has been shown to drive more citations, increase the transparency of research, and support collaboration. agriRxiv strongly advocates for the sharing of data, and supports the use of CABI’s CKAN site as a place for the publication of agricultural and environmental data: https://ckan.cabi.org/data",Unrestricted,"Authors are provided with a choice of licenses: CC0 1.0 Universal, CC BY Attribution 4.0 International","Email administrator. Staff, volunteers",Email support (support@agrirxiv.org),"Beforehand : Content within scope, Manuscript is complete (methods, references), Text overlap detection",Yes,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",Within 72h,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,Basic information remains on a tombstone page,,
amrc_open_research,AMRC Open Research,2022-02-11,"All article types (primary and scecondary research), posters and slides, Preprints",None,,info@amrcopenresearch.org,A platform for rapid author-led publication and open peer review of research funded by AMRC member charities,Broad life & biomedical research,"Broad Life, Life Sciences, biomedical, Medicine, F1000",2019,,,,English,Full text : 22,Disciplinary,"Yes : Author fee applies (min £120; max £800; £20 per poster, slide or document)",,Open,No,https://amrcopenresearch.org/,No,Nonprofit,Article processing charges,"The platform enables researchers to publish any research they wish to share, supporting reproducibility, transparency and impact. It uses an open research publishing model meaning publication within days of submission, followed by open invited peer review. Researchers are also able to publish supporting data enabling reanalyses, replication and reuse.",United Kingdom,Association of Medical Research Charities,AMRC,https://www.amrc.org.uk/,Funding organisation (funder); Membership organisation,Yes : includes researchers , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,Yes via FAQ,No,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Author affiliation(s), Funder acknowledgement(s), Subject category, Full-text content, Institution, Competing interests, Referee (name, affiliation, referee report), commenter (name, text, affiliation), study type, article type",Available for free upon request,No,Request to platform or author needed,Preprints permanently archived in Portico,,Yes,"Word doc, RTF",English (articles); Accepts posters and slides in all languages (metadata and description must be in English),Research only,"Supplementary data must be deposited in an approved repository and included in the article’s Data Availability section as “Extended data”. You can associate figures and tables to your article : All figures and tables must be cited and discussed in the article text, and their titles and legends should be provided in the revised/updated manuscript.",No,AMRC Open Research,ORCID,"If your article contains data or source code that has been deposited in a repository (e.g. GitHub, Zenodo, Figshare), please ensure the repository is up to date and reflects the revisions made in the new version of the article.",Restricted - manuscript can only be published in journal linked to server,Authors must use CC BY license,Community moderation via commenting,Community moderation via commenting,"Data is available (if applicable), Code is available (if applicable), All authors notified, One author affiliated with AMRC, Text overlap detection, Legal compliance, Ethical compliance",Yes,"DOI, each version receives its own DOI and own non-DOI citable identifier","No, only if the publisher imposes an embargo period",Up to 1 week,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,Basic information remains on a tombstone page,Powered by F1000 Research,
apsa_preprints,APSA Preprints,2022-02-11,"Unpublished content—including working/conference papers, presentations, and posters, Preprints",None,,preprints@apsanet.org,Early research outputs in political science and related disciplines,Political Science,APSA,2019-08-01,,,,English,Full text : 349,Disciplinary,"Free to user, business relationships with partners for hosting services.",APSA,Open,Yes,https://preprints.apsanet.org/engage/apsa/public-dashboard,"Yes : We have description of our conflict of interest procedure in our Author FAQs, How to Submit page, and Policies. We ask authors to declare whether they have any COI, and if so, to describe it in a declaration which is posted on the content page.",Nonprofit,Internal funding,,The United States of America and United Kingdom,"Owned by American Political Science Association, hosted by Cambridge University Press technology.",,https://www.apsanet.org/ and https://www.cambridge.org/,Professional association and Academic institution,Yes : includes researchers , ,Anyone may access full items free of charge,Free access,Only needed for submission,Yes,Yes via Guidelines help,We are about to launch a public API but we don't have one on APSA Preprints yet.,No,English,"Title, Author(s), Abstract, Version, Licence, Identifier, Author’s competing interest statement, Ethics",Reuse according to author's selected license,No,,See above,We plan to work with a preservation service to ensure that all content is preserved in perpetuity in the event that the platform closes.,Yes,PDF and PowerPoint,English,Research only,"Any file type can be uploaded as supplementary material including audio/video files, Excel/CSV, Word, or any other type. Yes, you can upload data, code, appendices, and other supporting materials to supplement your main content. Any file type is permitted but the maximum file size will be 500MB.",No,APSA journals published by CUP,ORCID,"Links to third-party sites containing supplementary materials (for example, data sets posted on third-party sites such as the Harvard Dataverse) can also be provided. These files and links will appear in a ""Supplementary Materials"" area on the content landing page",Direct submission to APSA journals published by CUP,"Authors are provided with a choice of licenses : All Rights Reserved, CC BY NC ND 4.0, CC BY NC SA 4.0, CC BY 4.0",Email administrator. It is also possible for any user to 'Report' user comments,Email administrator,"Does not infringe the intellectual property right of any person(s) or entity(ies). Does not contain any libelous or otherwise unlawful statements. Does not contain inappropriate, confidential, or harmful statements or materials. Falls broadly in the scope of political science.",Yes,DOI,"No, only if the publisher imposes an embargo period",3 to 5 business days,Accepts new version. All version are archieved and visible for readers.,"Registrants must have an APSA Member ID, but this is also free.","Yes, this can be found on our Policies page",No one,The content remains accessible,,
arabixiv,Arabixiv,2022-02-11,"Journal articles, Preprints",None,Closed for submission due to the lack of funding,khaled.moustafa@arabixiv.org or contact+arabixiv@osf.io or arabixiv@arabixiv.org,The Arabic multidisciplinary preprint server for science.,All scientific fields,The Arabic Preprint Server for Open Science,2018-01-01,,,,English,Full text : 328,Disciplinary,None,,Closed to submission only,Yes,http://about.arabixiv.org/,"Authors are asked, during the submission, to declare any type of conflict of interest that might have around their manuscripts",Nonprofit,Community operators pay a fee based on usage and COS subsidizes the other portion through fundraised support,"Promoting open science, transparency and sharing of knowledge",,Small group of enthusiasts,,,Academic community group,"Yes, various scientific fields are represented Up to every member to continue as a member at a voluntary basis or to end his commitment ","Yes, researchers included and the server is open to anyone from around the world Users are free to contribute without any condition or terms",Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,"Yes, monthly",The functioning of preprint server is commonly known (which includes manuscript moderation before posting to insure that the content is scientific and then posting it publiclly within ~ 48h),,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,Yes,None,COS Preservation Fund to maintain read access for 50+ years,Yes. COS has a preservation fund for up to 50+ years,No,PDF,Multilingual,Any scholarly content,"Supplementary data can be associated (image, datasets, etc.)",No,No,ORCID,,Unrestricted,"Authors are provided with a choice of licenses: No license, GNU Lesser General Public License (LGPL) 3.0, BSD 3-Clause ""New""/""Revised"" License, BSD 2-Clause ""Simplified"" License, GNU Lesser General Public License (LGPL) 2.1, CC BY Attribution 4.0 International, Artistic License 2.0, CC0 1.0 Universal, Apache License 2.0, Mozilla Public License 2.0, Academic Free License (AFL) 3.0, Eclipse Public License 1.0, MIT License, GNU General Public License (GPL) 3.0, GNU General Public License (GPL) 2.0","Email administrator, Readers encouraged to post concerns publicly as new article",Email administrator,Moderators screen the submission before posting,No,"DOI, single DOI retained for all versions","No, only if the publisher imposes an embargo period",Up to 48 hours,Accepts new version. All version are archieved and visible for readers.,Anyone can post on the platform. Only an account is required (The creation of the account is free).,Yes,At author's request with moderator approval,Basic information remains on a tombstone page,Closed - Stopped new submissions (7/01/2021),
arpha_preprints,ARPHA Preprints,2022-02-11,"All article types, Preprints",None,,preprints@arphahub.com,,The submission systems limited to the participating ARPHA journals,All scientific fields,"ARPHA, Pensoft",2020-09-01,,,,English,Full text : 69,Multidisciplinary,None,,Open,Yes,https://preprints.arphahub.com/,Authors state the absence of conflict of interest while submitting the manuscript to the journal. This applies to the preprints too.,Nonprofit,Supported by the publisher to provide a free service to the RPHa-hosted journals,The objectives (and benefits to authors) for developing the platform are listed here: https://preprints.arphahub.com/about#Benefitsofpostingapreprint,Bulgaria,Pensoft Publishers,Pensoft,https://pensoft.net/,Owned by publisher and technology provider,Managed by the publisher and supported by the editorial boards of the participating journals ,"No Once the manuscript is published in the ARPHA-hosted journal, the status of the preprint changes to Published in <the corresponding ARPHA-hosted journal>"". Additionally, the citation details of the published paper will be made available along with those of the preprint, in order to prompt further citations of the paper rather than the preprint. ARPHA Preprints will link the DOIs of the two publications through CrossRef.""",Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,CLOCKS and  Zenodo,Yes via FAQ,No,No,English,"Title, Identifier, Publication/deposition date, Author name(s), Abstract, Relational link to final journal publication (e.g. in crossref metadata), License type(s), Subject category",Openly available via API,No,None,Yes,No,Yes,PDF,English,Research only,,Pensoft,ARPHA-hosted journals that opted in for preprint services,ORCID,,Manuscript can be published in any ARPHA-hosted journal,Authors must use CC-BY 4.0,Managing editors of the particpating journals,Email administrator,"Beforehand : Content within scope, Manuscript is complete (methods, references), All authors notified, Legal compliance, Ethical compliance",Yes,DOI,"No, only if the publisher imposes an embargo period",Up to 48 hours,No versioning; published articles linked to their preprints.,ARPHA-hosted journals that opted in for preprint services.  Posting a preprint on ARPHA Preprints is part of the submission process of the participating ARPHA-hosted journals,Yes,Possible by editorial decision,Basic information remains on a tombstone page,Editor Platform
art_dok,ART-Dok,2022-02-11,"Master's theses, theses, dissertations and theses, Grey literature (e.g. manuals, reports, research reports, teaching material), Articles, books, festschrifts, book chapters, complete journal issues, preprints, postprints)",None,,Emails available on this page,"ART-Dok is the full-text server of the Specialised Information Service for Art, Photography and Design, arthistoricum.net and is made available by Heidelberg University Library. It offers members of the academic community worldwide the opportunity to publish their texts in electronic format on the internet at no charge.","Fine and Performing Arts, History and Archaeology","History, art",,http://archiv.ub.uni-heidelberg.de/artdok/cgi/oai2,X,open_science_framework,English and German,Full text : 7 239,Disciplinary,None,,Open,Yes,http://archiv.ub.uni-heidelberg.de/artdok/?source_opus=&la=en,No,Nonprofit,Internal funding,"Firmly rooted in its history, the University is committed to expanding and disseminating our knowledge about all aspects of humanity and nature through research and education. The University upholds the principle of freedom of research and education, acknowledging its responsibility to humanity, society, and nature.",Germany,Heidelberg University Library,,https://www.ub.uni-heidelberg.de/,Academic institution, , ,Anyone may access full items free of charge,Anyone may access the metadata free of charge,Only needed for submission,,No,Yes via API,Yes : Formats are available on this page,English and German,"Title, Identifier, Author(s), Document type, Date, Version, Faculties / Institutes, Subject, Countries/Region",Openly available via API,Yes,None,"Yes : Efforts will be undertaken to store documents permanently, currently a limited warranty of 5 years is guaranteed",,No,"PDF, PostScript or HTML",English,Research or scholary content,,No,No,No,,Unrestricted,Authors are provided with a choice of licenses but CC BY 4.0 is preferred,,No,,No,DOI OR URN,"No, only if the publisher imposes an embargo period",,Accepts new version. The last version only is available for readers,Anyone can post on the platform. Only an account is required ( The creation of the account is free).,Yes,Platform,Full text isn't available anymore.,,
