Repository ID,Discipline ID,Editorial Notes
aas_open_research,multidisciplinary_repositories,
aas_open_research,multidisciplinary_repositories,
advance_sage_preprint,social_sciences,
africarxiv,multidisciplinary_repositories,
agecon_search,agriculture,
agecon_search,economics,
agrirxiv,agriculture,
amrc_open_research,biology_life_sciences,
amrc_open_research,multidisciplinary_repositories,
apsa_preprints,political_sciences,
arabixiv,marine_science,
arabixiv,multidisciplinary_repositories,
arabixiv,regional_studies,
arpha_preprints,multidisciplinary_repositories,
art_dok,art_history,
arxiv,astrophysics,
arxiv,computer_science,
arxiv,mathematics,
arxiv,multidisciplinary_repositories,
arxiv,physics,
authorea,multidisciplinary_repositories,
beilstein_archive,multidisciplinary_repositories,
bepress_legal_repository,law,
biohackrxiv,biology_life_sciences,
biorxiv,biology_life_sciences,
bodoarxiv,history,
cell_press_sneak_peek,biology_life_sciences,
cern_document_server,physics,
chemrxiv,chemistry,
chinaxiv,biology_life_sciences,
chinaxiv,earth_science,
chinaxiv,psychology,
classics_research_network,history,
cogprints,cognitive_science,
cogprints,linguistics,
core_repository,multidisciplinary_repositories,
corporate_governance_network,economics,
crimrriv,criminology,
crossasia_repository,regional_studies,
cryptology_eprint_archive,cryptology,
dash,humanities_in_general,
dspace_at_mit,multidisciplinary_repositories,
e_lis,library_and_information_science,
earth_prints_repository,earth_science,
eartharxiv,earth_science,
easychair_preprints,computer_science,
ecoevorxiv,earth_science,
econstor,economics,
ecsarxiv,chemistry,
edarxiv,education_research,
egusphere,earth_science,
electronic_colloquium_on_computational_complexity,computer_science,
english_and_american_literature_research_network,literature,
engrxiv,engineering,
eric,education_research,
essoar,earth_science,
f1000_research,multidisciplinary_repositories,
figshare,multidisciplinary_repositories,
focus_archive,physics,
frenxiv,multidisciplinary_repositories,
gates_open_research,multidisciplinary_repositories,
hal,multidisciplinary_repositories,
horizon__ird_scientific_publications,development,
hrb_open_research,multidisciplinary_repositories,
icrisat,agriculture,
ina_rxiv,multidisciplinary_repositories,
ina_rxiv,regional_studies,
indiarxiv,multidisciplinary_repositories,
jmir_preprints,multidisciplinary_repositories,
lawarxiv,law,
lingbuzz,linguistics,
lis_scholarship_archive,library_and_information_science,
lse_research_online,multidisciplinary_repositories,
marxiv,marine_science,
mathematical_physics_preprint_archive,mathematics,
mathematical_physics_preprint_archive,physics,
mediarxiv,communication_studies,
medrxiv,medicine,
metaarxiv,library_and_information_science,
mindrxiv,cognitive_science,
mindrxiv,philosophy,
mindrxiv,psychology,
mitofit_preprints_archive,biology_life_sciences,
mni_open_research,cognitive_science,
munich_personal_repec_archive,economics,
nature_precedings,biology_life_sciences,
nber_working_papers,economics,
nutrixiv,biology_life_sciences,
open_anthropology_research_repository,anthropology,
open_research_europe,multidisciplinary_repositories,
organic_eprints,agriculture,
orvium,multidisciplinary_repositories,
osf_preprints,multidisciplinary_repositories,
outbreak_rapid_science_prereview,multidisciplinary_repositories,
paleorxiv,biology_life_sciences,
peerj_preprints,biology_life_sciences,
peerj_preprints,medicine,
philsci_archive,philosophy,
preprints_org,multidisciplinary_repositories,
preprints_ru,multidisciplinary_repositories,
preprints_with_the_lancet,multidisciplinary_repositories,
propylaeumdok,history,
psyarxiv,medicine,
psyarxiv,psychology,
qeios,multidisciplinary_repositories,
repec,economics,
research_square,multidisciplinary_repositories,
researchgate,multidisciplinary_repositories,
rinarxiv,multidisciplinary_repositories,
rinarxiv,regional_studies,
rutgers_optimality_archive,linguistics,
scielo_preprints,sciences_in_general,
science_open,multidisciplinary_repositories,
self_journal_of_science_co_science,communication_studies,
socarxiv,social_sciences,
sodha,social_sciences,
sportrxiv,sport_exercise_and_physical_activity,
ssoar,social_sciences,
ssrn,social_sciences,
techrxiv,engineering,
techrxiv,marine_science,
therapoid,medicine,
vixra,computer_science,
vixra,mathematics,
vixra,physics,
wellcome_open_research,multidisciplinary_repositories,
wikijournal_preprints,multidisciplinary_repositories,
zenodo,multidisciplinary_repositories,
