ID,Name,Description,URL,Category 1,Category 2,Category 3,Category 4,Cost,Editorial Notes
peers,PEERS,"Free platform in human sciences to deposit, evaluate and curate articles",https://peers.press,communication_and_sharing,review,general_publication,,completely free,
peer_community_in,Peer Community in,A community of scientists and researchers and a platform for assessing through open peer-review and possibly recommending preprints submitted by authors. No costs implied for users.,https://peercommunityin.org/,review,endorsement,,,completely free,
peeriodicals,Peeriodicals,"Platform gathering virtual journals whose editors in chief are free to select the manuscripts they want to highlight. There is no mandatory formal submission by the authors (although authors can suggest their papers), no mandatory formal peer-review (although there can be some) and no formal editorial decision (although there can be some). Periodicals is free for readers, authors and editors.",https://peeriodicals.com,review,endorsement,,,completely free,
prelights,preLights,"Community platform for highlighting and commenting on preprints. Run by The Company of Biologists, a not-for-profit publishing organization. Authors do not submit their own preprints to PreLights for evaluation.",https://prelights.biologists.com,review,endorsement,,,completely free,
coscience,CoScience,"It can search the web for content similar to a given article, and graphically compare an article to a specific URL.",https://www.sjscience.org,endorsement,review,,,completely free,
publons,Publons,"A searchable index of all COVID-19 papers and preprints, updated daily.",https://publons.com/publon/covid-19/,review,search,,,completely free,
academia,Academia,An American commercial social networking website for academics. Originally a free and open repository of academic journal articles it now charges fees to put authors in contact with their readers.,https://www.academia.edu,communication_and_sharing,,,,free with premium features,
altmetric,Altmetric,"A data science company that tracks where published research is mentioned online, and provides tools and services to institutions, publishers, researchers, funders and other organisations to monitor this activity, commonly referred to as altmetrics.",https://www.altmetric.com,usage_metrics,,,,free with premium features,
arxivist,arxivist,"It keeps track of the papers that you have clicked on previously - to upvote/downvote them and it moves the ""similar"" papers to the top of the pile. When the arxivist needs to rate a new article for you, it looks at your preference for each of the article's keywords and sums them up to get the total score.",https://arxivist.com,usage_metrics,,,,completely free,
authorea,Authorea,"An online collaborative writing tool that allows researchers to write, cite, collaborate, host data and publish. It has been described as ""Google Docs for Scientists"".",https://www.authorea.com,general_publication,,,,free with premium features,
base,BASE (Bielefeld Academic Search Engine),"A search engine for academic web resources indexing the metadata of all kinds of academically relevant resources – journals, institutional repositories, digital collections etc… Service provided by the University of Bielefeld (Germany).",https://www.base-search.net/,search,,,,completely free,
cab_abstracts,CAB Abstracts,"CAB Abstracts is the leading English-language bibliographic information service providing access to the world’s applied life sciences literature. It comes with CABI Full Text, giving users automatic access to over 570,000 journal articles, conference papers and reports (80% of which are not available electronically anywhere else).",https://www.cabi.org/publishing-products/cab-abstracts/,search,,,,premium only,
cas,CAS,"At CAS, we curate, connect, and analyze scientific knowledge to reveal the unseen connections that inspire breakthroughs. We weave a fabric of discovery that scientific innovators can tap into to stimulate their creativity and accelerate their work. Because when the world turns to science, science turns to CAS.",https://www.cas.org,search,,,,premium only,
classical_research_journals,Classical research journals,Authors submit their preprint to get them published after peer-review and editorial decision (=curation/endorsement by the editors).,,endorsement,,,,completely free,
copyvios,CopyVios (Earwig),This is a copyright violation detector running on Wikimedia Cloud Services.,https://github.com/earwig/copyvios,plagiarism_detection,,,,completely free,
core,CORE,,https://core.ac.uk/,search,,,,completely free,
crossref,CrossRef,,https://www.crossref.org/,search,,,,premium only,
crowdpeer,Crowdpeer,"Allows open peer review of preprints. It provides a universal structure for reviews, separating the objective, quality related critiques of a paper from it’s perceived impact. Anyone can add a paper summary, highlight strengths and weaknesses of a paper and reply to others’ contributions. This encourages all aspects of traditional peer review to be covered - not only negative comments. A comment voting system allows for members of the community to collectively filter reviewer contributions, highlighting the most important comments and providing a more impartial final review.",https://www.thecrowdpeer.com/,review,,,,completely free,
dart_europe,DART-Europe,DART-Europe E-theses Portal,https://www.dart-europe.org/basic-search.php,search,,,,completely free,
dimensions,Dimensions,Database and search engine of articles and preprints,https://www.dimensions.ai/,search,,,,free with premium features,
disqus,Disqus,,https://disqus.com,commenting,,,,free with premium features,
dryad,Dryad,"An international repository of data underlying peer-reviewed scientific and medical literature, and a membership organization, governed by journals, publishers, scientific societies, and other stakeholders",https://datadryad.org/stash,data_and_code_sharing,,,,free with premium features,
e_life,e-Life,"An OA journal proposing to publish peer-reviews of preprints submitted to e-Life, whatever the outcome of the evaluation",https://elifesciences.org/inside-elife/e9091cea/peer-review-new-initiatives-to-enhance-the-value-of-elife-s-process,review,,,,completely free,
early_evidence_base,Early Evidence Base,Service gathering reviews performed on preprints.,https://eeb.embo.org/refereed-preprints/embo-press,search,,,,completely free,
econbiz,EconBiz,"Journals, Working Papers & Conferences",https://www.econbiz.de,search,,,,completely free,
econlit,EconLit,"EconLit provides the coverage most needed by scholars to make new discoveries, develop important insights, and contribute valuable research to the economics community.

Peer-Reviewed Journal Articles
Working Papers
PhD Dissertations
Books and Book Reviews
Collective Volume Articles
Professionally classified, updated weekly, and including over 1.6 million records, EconLit covers economics literature published over the last 130 years from leading institutions in 74 countries.  In combination with the optional full-text package of over 500 journals, including the prestigious AEA journals, EconLit provides a comprehensive library of economics literature.",https://www.aeaweb.org/econlit/,search,,,,premium only,
econstor,EconStor,EconStor can help you to disseminate your publications in Economics and Business Studies visibly and effectively.,https://www.econstor.eu,search,,,,completely free,
episcience,Epirevues/Episcience,in Business Studies and Economics,https://www.episciences.org,endorsement,,,,completely free,
europe_pmc,Europe PMC,Database and search engine of articles and preprints,https://europepmc.org,search,,,,completely free,
europe_pmc_annotation,EuropePMC annotation,Provides text mining annotations contained in abstracts and open access full text articles,https://europepmc.org/Annotations,commenting,,,,free with premium features,
f1000research,F1000Research,"An open access, open peer-review scientific publishing platform covering the life sciences. Articles are published first and peer reviewed after publication by invited referees.",https://f1000research.com/,general_publication,,,,completely free,
faculty_opinion,Faculty Opinion,A group of scientists who pick out and recommend articles they consider to be highly important to others.,https://facultyopinions.com/prime/home,commenting,,,,completely free,
figshare,figshare,"An online open access repository where researchers can preserve and share their research outputs, including figures, datasets, images, and videos.",https://figshare.com,data_and_code_sharing,,,,completely free,
github,GitHub,"A subsidiary of Microsoft which provides hosting for software development and version control using Git. It offers the distributed version control and source code management (SCM) functionality of Git, plus its own features. It provides access control and several collaboration features such as bug tracking, feature requests, task management, continuous integration and wikis for every project.",https://github.com,data_and_code_sharing,,,,free with premium features,
google,Google,General search engine,https://www.google.fr/,search,,,,completely free,
google_analytics,Google Analytics,,https://analytics.google.com/,usage_metrics,,,,free with premium features,
google_scholar,Google Scholar,"All kind of documents (books, reports, articles, preprints)",https://scholar.google.com,search,,,,completely free,
hypothes_is,hypothes.is,"A system allowing annotation of web pages. It uses a browser plug-in or a bookmarklet (others), or it is viewable without needing a plug-in in some websites (eg biorxiv).",https://web.hypothes.is,commenting,,,,completely free,
inomics,Inomics,,https://inomics.com,search,,,,completely free,
inspire_hep,Inspire HEP,INSPIRE is a trusted community hub that helps researchers to share and find accurate scholarly information in high energy physics.,https://inspirehep.net,search,,,,completely free,
isidore,ISIDORE,An online platform that allows research and access to human and social sciences digital data.,https://isidore.science/,search,,,,completely free,
ithenticate,ithenticate,iThenticate is the premier tool for researchers and professional writers to check their original works for potential plagiarism.,https://www.ithenticate.com/,plagiarism_detection,,,,premium only,
katex,KaTeX,KaTeX is a LaTeX-based typesetting tool for mathematical expressions developed by the Khan Academy. It is billed as the fastest math typesetting library for the web because it renders math in real time without the need to reflow the page.,https://katex.org/,manuscript_formatting,,,,completely free,
liebniz_open,LiebnizOpen,,https://leibnizopen.de/search,search,,,,completely free,
manuscripts_io,Manuscripts.io,A simple authoring tool for complex documents.,https://www.manuscripts.io/about/,manuscript_formatting,,,,completely free,
math_sci_net,MathSciNet,"A searchable online bibliographic database created by the American Mathematical Society in 1996. It contains all of the contents of the journal Mathematical Reviews since 1940 along with an extensive author database, links to other MR entries, citations, full journal entries, and links to original articles.",https://mathscinet.ams.org/mathscinet,search,,,,premium only,
mathoverflow,MathOverflow,"A mathematics question-and-answer (Q&A) website, which serves as an online community of mathematicians. It allows users to ask questions, submit answers, and rate both, all while getting merit points for their activities. It is a part of the Stack Exchange Network.",https://mathoverflow.net/,commenting,,,,completely free,
mathscinet,MathSciNet,"Allow reviews of every mathematical research publication. The authors of reviews are volunteers, usually chosen by the editors because of some expertise in the area of the article. Often reviews give detailed summaries of the contents of the paper, sometimes with critical comments by the reviewer and references to related work. However, reviewers are not encouraged to criticize the paper, because the author does not have an opportunity to respond.",https://mathscinet.ams.org/mathscinet,review,,,,premium only,
matomo,Matomo,,https://matomo.org,usage_metrics,,,,free with premium features,
mendeley,Mendeley,Provides products and services for academic researchers. It is most known for its reference manager which is used to manage and share research papers and generate bibliographies for scholarly articles. Owned by Elsevier.,https://www.mendeley.com,communication_and_sharing,,,,free with premium features,
meno.science,Meno.science,Project at prototype stage. It will enable scientists to both give and receive feedback on preprints.,https://meno.science/,review,,,,completely free,
meta,meta,"All kind of documents (books, reports, articles, preprints)",https://www.meta.org,search,,,,completely free,
microsoft_academic_search,Microsoft Academic Search,,https://academic.research.microsoft.com,search,,,,completely free,
nasa_ads,NASA Astrophysics Data System,,https://ui.adsabs.harvard.edu,search,,,,completely free,
oaister,OAIster,"OAIster is a union catalog of millions of records that represent open access resources. This catalog was built through harvesting from open access collections worldwide using the Open Archives Initiative Protocol for Metadata Harvesting (OAI-PMH). Today, OAIster includes more than 50 million records that represent digital resources from more than 2,000 contributors.",https://www.oclc.org/en/oaister.html,search,,,,completely free,
openaire_explore,OpenAire explore,"A search engine for datasets, publications, preprints, research softwares, funders, funding grants… Supported by the European Union.",https://explore.openaire.eu/,search,,,,completely free,
orcid,ORCID (Open Researcher and Contributor ID),"A free service assigning a unique and permanent identifier to researchers publishing articles and other items. Avoids the problems related to multiple email addresses, and to the mobility during the career (the ID remains stable all along the career of a researcher independently of his employer or situation). Not for profit organisation.",https://orcid.org/,researcher_identification,,,,completely free,
