name,slug
Agriculture,agriculture
Anthropology,anthropology
Art history,art-history
Astrophysics,astrophysics
Biology / Life sciences,biology-life-sciences
Chemistry,chemistry
Cognitive science,cognitive-science
Communication studies,communication-studies
Computer science,computer-science
Criminology,criminology
Cryptology,cryptology
Development,development
Earth science,earth-science
Economics,economics
Education (Research),education-research
Engineering,engineering
History,history
Humanities in general,humanities-in-general
Law,law
Library and information science,library-and-information-science
Linguistics,linguistics
Literature,literature
Marine science,marine-science
Mathematics,mathematics
Medicine,medicine
Multidisciplinary repositories,multidisciplinary-repositories
Philosophy,philosophy
Physics,physics
Political Sciences,political-sciences
Psychology,psychology
Regional studies,regional-studies
Sciences in general,sciences-in-general
Social sciences,social-sciences
"Sport, Exercise and Physical Activity",sport-exercise-and-physical-activity
