repository,country,repo in index?
aas-open-research,kenya,yes
advance-sage-preprint,united-states,yes
africarxiv,germany,yes
agecon-search,united-states,yes
agrirxiv,united-kingdom,yes
amrc-open-research,united-kingdom,yes
apsa-preprints,united-kingdom,yes
apsa-preprints,united-states,yes
arpha-preprints,bulgaria,yes
art-dok,germany,yes
arxiv,united-states,yes
authorea,united-states,yes
beilstein-archive,germany,yes
bepress-legal-repository,united-states,yes
biorxiv,united-states,yes
bodoarxiv,united-states,yes
cell-press-sneak-peek,netherlands,yes
cern-document-server,switzerland,yes
chemrxiv,china,yes
chemrxiv,germany,yes
chemrxiv,japan,yes
chemrxiv,united-kingdom,yes
chemrxiv,united-states,yes
chinaxiv,china,yes
cogprints,united-kingdom,yes
crimrxiv,united-states,yes
crossasia-repository,germany,yes
cryptology-eprint-archive,united-states,yes
digital-access-to-scholarship-harvard,united-states,yes
dspace-mit,united-states,yes
e-lis,italy,yes
earth-prints-repository,italy,yes
easychair-preprints,united-kingdom,yes
ecoevorxiv,united-states,yes
econstor,germany,yes
ecsarxiv,united-states,yes
edarxiv,united-states,yes
engrxiv,united-states,yes
eric,united-states,yes
essoar,united-states,yes
f1000-research,united-kingdom,yes
figshare,united-kingdom,yes
focus-archive,united-states,yes
frenxiv,canada,yes
frenxiv,france,yes
gates-open-research,united-states,yes
hal,france,yes
hrb-open-research,ireland,yes
ina-rxiv,united-states,yes
indiarxiv,india,yes
jmir-preprints,canada,yes
lawarxiv,united-states,yes
lingbuzz,norway,yes
lse-research-online,united-kingdom,yes
marxiv,united-states,yes
mathematical-physics-preprint-archive,united-states,yes
medrxiv,united-states,yes
metaarxiv,united-states,yes
mindrxiv,united-states,yes
mitofit-preprints-archive,austria,yes
mni-open-research,canada,yes
munich-personal-repec-archive,germany,yes
nature-precedings,united-kingdom,yes
open-anthropology-research-repository,united-states,yes
open-research-europe,european-union,yes
organic-eprints,denmark,yes
osf-preprints,united-states,yes
paleorxiv,united-states,yes
peerj-preprints,united-kingdom,yes
peerj-preprints,united-states,yes
philsci-archive,united-states,yes
preprints-org,switzerland,yes
preprints-ru,russia,yes
preprints-with-the-lancet,netherlands,yes
propylaeumdok,germany,yes
psyarxiv,united-states,yes
research-square,united-states,yes
rinarxiv,indonesia,yes
rutgers-optimality-archive,united-states,yes
scielo-preprints,brazil,yes
scienceopen,germany,yes
socarxiv,united-states,yes
ssoar,germany,yes
ssrn,netherlands,yes
techrxiv,united-states,yes
therapoid,united-states,yes
vixra,united-states,yes
wellcome-open-research,united-kingdom,yes
wikijournal-preprints,united-states,yes
zenodo,switzerland,yes
