discipline,In Index?,repository,In Repo List?,url,description
multidisciplinary-repositories,yes,aas-open-research,yes,https://aasopenresearch.org/,"AAS Open Research is a platform for rapid publication and open peer review for researchers supported by the AAS and programs supported through its funding platform, AESA."
multidisciplinary-repositories,yes,academia-edu,no,https://www.academia.edu/,"Academia’s goal is to ensure that every paper, ever written, is on the internet, available for free. "
social-sciences,yes,advance-sage-preprint,yes,https://advance.sagepub.com/,Advance: a SAGE preprints community allows researchers within the fields of humanities and social sciences to post their work online and free of charge.
multidisciplinary-repositories,yes,africarxiv,yes,https://info.africarxiv.org/,"AfricArXiv is a community-led digital archive for African research, working towards building an African-owned open scholarly repository; a knowledge commons of African scholarly works to catalyze the African Renaissance."
agriculture,yes,agecon-search,yes,https://ageconsearch.umn.edu/?ln=en,"AgEcon Search is a free-to-user Web site that contains the full text of working papers, conference papers and journal articles in applied economics, including the subtopics of agricultural, consumer, energy, environmental, and resource economics. "
economics,yes,agecon-search,yes,https://ageconsearch.umn.edu/?ln=en,"AgEcon Search is a free-to-user Web site that contains the full text of working papers, conference papers and journal articles in applied economics, including the subtopics of agricultural, consumer, energy, environmental, and resource economics. "
agriculture,yes,agrirxiv,yes,https://agrirxiv.org/,"agriRxiv (pronounced ‘agri-archive’) is a free, open access source of unpublished preprints across the agricultural sciences."
multidisciplinary-repositories,yes,amrc-open-research,yes,https://amrcopenresearch.org/,A platform for rapid author-led publication and open peer review of research funded by AMRC member charities
biology-life-sciences,yes,animal-studies-repository,no,https://www.wellbeingintlstudiesrepository.org/,"The WellBeing International Studies Repository (WBISR) is a multidisciplinary, open access collection of academic, archival, and other materials addressing various topics within the fields of human well-being, animal well-being and environmental sustainability (the PAE Triad)."
political-sciences,yes,apsa-preprints,yes,https://preprints.apsanet.org/engage/apsa/public-dashboard,Early research outputs in political science and related disciplines
multidisciplinary-repositories,yes,arabixiv,yes,http://about.arabixiv.org/,The Arabic multidisciplinary preprint server for science. 
regional-studies,yes,arabixiv,yes,http://about.arabixiv.org/,The Arabic multidisciplinary preprint server for science. 
marine-science,yes,archimer,no,https://archimer.ifremer.fr/search,"Archimer offers you access to thousands of documents in all fields related to the study of seas and oceans (fisheries, aquaculture, marine ecology, oceanography, marine geology, marine biology...)."
multidisciplinary-repositories,yes,arpha-preprints,yes,https://preprints.arphahub.com/,	The submission systems limited to the participating ARPHA journals
art-history,yes,art-dok,yes,http://archiv.ub.uni-heidelberg.de/artdok/?source_opus=&la=en,"ART-Dok is the full-text server of the Specialised Information Service for Art, Photography and Design, arthistoricum.net and is made available by Heidelberg University Library. It offers members of the academic community worldwide the opportunity to publish their texts in electronic format on the internet at no charge."
mathematics,yes,arxiv,yes,https://arxiv.org/,"arXiv is a free distribution service and an open-access archive for 1,871,031 scholarly articles in the fields of physics, mathematics, computer science, quantitative biology, quantitative finance, statistics, electrical engineering and systems science, and economics. Materials on this site are not peer-reviewed by arXiv."
multidisciplinary-repositories,yes,arxiv,yes,https://arxiv.org/,"arXiv is a free distribution service and an open-access archive for 1,871,031 scholarly articles in the fields of physics, mathematics, computer science, quantitative biology, quantitative finance, statistics, electrical engineering and systems science, and economics. Materials on this site are not peer-reviewed by arXiv."
physics,yes,arxiv,yes,https://arxiv.org/,"arXiv is a free distribution service and an open-access archive for 1,871,031 scholarly articles in the fields of physics, mathematics, computer science, quantitative biology, quantitative finance, statistics, electrical engineering and systems science, and economics. Materials on this site are not peer-reviewed by arXiv."
computer-science,yes,arxiv-cs,no,https://arxiv.org/archive/cs,
astrophysics,yes,astrophysics-data-system,no,https://ui.adsabs.harvard.edu/paper-form,"The SAO/NASA Astrophysics Data System (ADS) is a digital library portal for researchers in astronomy and physics, operated by the Smithsonian Astrophysical Observatory (SAO) under a NASA grant."
multidisciplinary-repositories,yes,authorea,yes,https://www.authorea.com/,"Authorea is the leading collaborative platform to read, write, and publish research."
multidisciplinary-repositories,yes,beilstein-archive,yes,https://www.beilstein-archives.org/xiv/,Preprint server for Beilstein journals
law,yes,bepress-legal-repository,yes,https://law.bepress.com/,The bepress Legal Repository offers working papers and pre-prints from scholars and professionals at top law schools around the world.
biology-life-sciences,yes,biohackrxiv,yes,https://biohackrxiv.org/,Preprints for BioHackathons
biology-life-sciences,yes,biorxiv,yes,https://www.biorxiv.org/,"bioRxiv (pronounced ""bio-archive"") is a free online archive and distribution service for unpublished preprints in the life sciences."
history,yes,bodoarxiv,yes,https://bodoarxiv.wordpress.com/,"BodoArXiv gathers scholarly literature in medieval studies across the disciplines. It provides an open, non-profit repository for papers at different stages of gestation, including works that may later find themselves in article form and/or behind a paywall."
biology-life-sciences,yes,cell-press-sneak-peek,yes,https://www.ssrn.com/index.cfm/en/cell-press-sneak-peek/,Manuscript under review in Cell Press journals
physics,yes,cern-document-server,yes,https://cds.cern.ch/,"CERN Document Server is where you can find the Library catalogue (books, ebooks, e-journals, standards) and the CERN scientific output (articles, preprints, reports, CERN Annual reports, Yellow Reports, CERN Bulletin, etc.)"
chemistry,yes,chemrxiv,yes,https://chemrxiv.org/,"ChemRxiv (pronounced 'chem-archive') is a free submission, distribution and archive service for unpublished preprints in chemistry and related areas."
biology-life-sciences,yes,chinaxiv,yes,http://chinaxiv.org/home.htm,"ChinaXiv is an open repository and distribution service for scientific researchers in the field of natural science, which accepts scholarly preprints and conditionally accepts published articles."
earth-science,yes,chinaxiv,yes,http://chinaxiv.org/home.htm,"ChinaXiv is an open repository and distribution service for scientific researchers in the field of natural science, which accepts scholarly preprints and conditionally accepts published articles."
psychology,yes,chinaxiv,yes,http://chinaxiv.org/home.htm,"ChinaXiv is an open repository and distribution service for scientific researchers in the field of natural science, which accepts scholarly preprints and conditionally accepts published articles."
history,yes,classics-research-network,yes,https://www.ssrn.com/index.cfm/en/crn/,"Classics, as a field of study, encompasses all aspects of the ancient societies of Greece and Rome. To understand many aspects of the modern Western world, we must understand their origins in ancient Greece and Rome."
cognitive-science,yes,cogprints,yes,http://cogprints.org/,"Welcome to CogPrints, an electronic archive for self-archive papers in any area of Psychology, Neuroscience, and Linguistics, and many areas of Computer Science, Philosophy, Biology, Medicine, Anthropology, as well as any other portions of the physical, social and mathematical sciences that are pertinent to the study of cognition."
linguistics,yes,cogprints,yes,http://cogprints.org/,"Welcome to CogPrints, an electronic archive for self-archive papers in any area of Psychology, Neuroscience, and Linguistics, and many areas of Computer Science, Philosophy, Biology, Medicine, Anthropology, as well as any other portions of the physical, social and mathematical sciences that are pertinent to the study of cognition."
multidisciplinary-repositories,yes,core-repository,yes,https://core.ac.uk/,CORE’s mission is to aggregate all open access research worldwide and deliver unrestricted access for all.
economics,yes,corporate-governance-network,yes,https://www.ssrn.com/index.cfm/en/cgn/,"Because the scope of local, national, and international commerce is so vast, the study of corporate governance encompasses everything from the organization of family firms to the management of multinational corporations."
criminology,yes,crimrxiv,yes,https://www.crimrxiv.com/,"CrimRxiv is criminology's open archive: a place to find and provide free information, knowledge, and understanding."
regional-studies,yes,crossasia-repository,yes,http://crossasia-repository.ub.uni-heidelberg.de/?source_opus=&la=en,"CrossAsia-Repository, the full-text server of the Virtual Library CrossAsia is the platform for publishing and archiving research literature in Asian Studies. Academics from all over the world are offered the possibility to publish their research on all fields of Asian Studies free of charge and without access limitation."
cryptology,yes,cryptology-eprint-archive,yes,https://eprint.iacr.org/,The Cryptology ePrint Archive provides rapid access to recent research in cryptology. Papers have been placed here by the authors and did not undergo any refereeing process other than verifying that the work seems to be within the scope of cryptology and meets some minimal acceptance criteria and publishing conditions.
