slug,name,description,url,cost
academia,Academia,An American commercial social networking website for academics. Originally a free and open repository of academic journal articles it now charges fees to put authors in contact with their readers.,https://www.academia.edu ,free_with_premium_features
altmetric,Altmetric,"A data science company that tracks where published research is mentioned online, and provides tools and services to institutions, publishers, researchers, funders and other organisations to monitor this activity, commonly referred to as altmetrics.",https://www.altmetric.com ,free_with_premium_features
arxivist,arxivist,"It keeps track of the papers that you have clicked on previously - to upvote/downvote them and it moves the ""similar"" papers to the top of the pile. When the arxivist needs to rate a new article for you, it looks at your preference for each of the article's keywords and sums them up to get the total score.",https://arxivist.com ,completely_free
authorea,Authorea,"An online collaborative writing tool that allows researchers to write, cite, collaborate, host data and publish. It has been described as ""Google Docs for Scientists"".",https://www.authorea.com,free_with_premium_features
bielefeld-academic-search-engine,Bielefeld Academic Search Engine,"A search engine for academic web resources indexing the metadata of all kinds of academically relevant resources – journals, institutional repositories, digital collections etc… Service provided by the University of Bielefeld (Germany).",https://www.base-search.net/ ,completely_free
cab-abstracts,CAB Abstracts,"CAB Abstracts is the leading English-language bibliographic information service providing access to the world’s applied life sciences literature. It comes with CABI Full Text, giving users automatic access to over 570,000 journal articles, conference papers and reports (80% of which are not available electronically anywhere else).",https://www.cabi.org/publishing-products/cab-abstracts/,premium_only
chemical-abstracts,Chemical Abstracts,"At CAS, we curate, connect, and analyze scientific knowledge to reveal the unseen connections that inspire breakthroughs. We weave a fabric of discovery that scientific innovators can tap into to stimulate their creativity and accelerate their work. Because when the world turns to science, science turns to CAS.",https://www.cas.org,premium_only
classical-research-journals,Classical research journals,Authors submit their preprint to get them published after peer-review and editorial decision (=curation/endorsement by the editors).,,completely_free
core,CORE,"One of the world’s largest collections of open access full texts, which are used and referenced by people globally, including researchers, libraries, software developers, funders and many more. CORE content covers all research disciplines and comes from thousands of institutional and subject repositories and journals. CORE is a not-for-profit service delivered by The Open University and Jisc.",https://core.ac.uk/ ,completely_free
coscience,CoScience,A platform for depositing and discussing/commenting articles. Every affiliated scientist can discuss papers. Papers can be discussed forever. Allows user to gather articles into (self-)journals. Free service,https://www.sjscience.org ,completely_free
crossref,Crossref,"Crossref makes research objects easy to find, cite, link, assess, and reuse. We’re a not-for-profit membership organization that exists to make scholarly communications better.",https://www.crossref.org,free_with_premium_features
crowdpeer,Crowdpeer,"Allows open peer review of preprints. It provides a universal structure for reviews, separating the objective, quality related critiques of a paper from it’s perceived impact. Anyone can add a paper summary, highlight strengths and weaknesses of a paper and reply to others’ contributions. This encourages all aspects of traditional peer review to be covered - not only negative comments. A comment voting system allows for members of the community to collectively filter reviewer contributions, highlighting the most important comments and providing a more impartial final review. ",https://www.thecrowdpeer.com/,completely_free
dart-europe,DART Europe,DART-Europe was founded in 2005 as a partnership of national and university libraries and consortia to improve global access to European research theses. The DART-Europe E-theses Portal is managed by UCL Library Services.,https://www.dart-europe.org/basic-search.php,completely_free
dblp,DBLP,"The dblp computer science bibliography provides open bibliographic information on major computer science journals and proceedings. Originally created at the University of Trier in 1993, dblp is now operated and further developed by Schloss Dagstuhl.",https://dblp.org,completely_free
dimensions,Dimensions,Database and search engine of articles and preprints,https://www.dimensions.ai/,free_with_premium_features
disqus,Disqus,"The internet's favorite comment plug-in makes it easy for publishers to bring their content to life, fuel colorful discussions, efficiently moderate comments, and build engaged communities.",https://disqus.com,free_with_premium_features
dryad,Dryad,"An international repository of data underlying peer-reviewed scientific and medical literature, and a membership organization, governed by journals, publishers, scientific societies, and other stakeholders",https://datadryad.org/stash ,free_with_premium_features
early-evidence-base,Early Evidence Base,Service gathering reviews performed on preprints.,https://eeb.embo.org/refereed-preprints/embo-press ,completely_free
ebsco,Ebsco,,https://www.ebsco.com,
econbiz,EconBiz,,https://www.econbiz.de,completely_free
econlit,EconLit,"Professionally classified, updated weekly, and including over 1.6 million records, EconLit covers economics literature published over the last 130 years from leading institutions in 74 countries.  In combination with the optional full-text package of over 500 journals, including the prestigious AEA journals, EconLit provides a comprehensive library of economics literature.",https://www.aeaweb.org/econlit/,completely_free
elife,eLife,"An OA journal proposing to publish peer-reviews of preprints submitted to e-Life, whatever the outcome of the evaluation",https://elifesciences.org/inside-elife/e9091cea/peer-review-new-initiatives-to-enhance-the-value-of-elife-s-process,completely_free
episcience,Episcience,"Authors submit their preprints to get them indexed as “published” after peer-reviews and editorial decisions. However, the service does not publish the article because it stays on the preprint server.",https://www.episciences.org ,completely_free
europe-pmc,Europe PMC,Database and search engine of articles and preprints,https://europepmc.org ,completely_free
europepmc-annotation,EuropePMC annotation,Provides text mining annotations contained in abstracts and open access full text articles,https://europepmc.org/Annotations,free_with_premium_features
f1000research,F1000Research,"An open access, open peer-review scientific publishing platform covering the life sciences. Articles are published first and peer reviewed after publication by invited referees. ",https://f1000research.com/ ,completely_free
faculty-opinion,Faculty Opinion,A group of scientists who pick out and recommend articles they consider to be highly important to others.,https://facultyopinions.com/prime/home ,completely_free
figshare,figshare,"An online open access repository where researchers can preserve and share their research outputs, including figures, datasets, images, and videos.",https://figshare.com ,completely_free
