function,In Index?,service,In Services List?
communication-and-sharing,yes,academia,yes
metrics,yes,altmetric,yes
metrics,yes,arxivist,yes
general-publication,yes,authorea,yes
indexing,yes,bielefeld-academic-search-engine,yes
endorsement,yes,classical-research-journals,yes
indexing,yes,core,yes
peer-review,yes,coscience,yes
endorsement,yes,coscience,yes
indexing,yes,crossref,yes
peer-review,yes,crowdpeer,yes
indexing,yes,dblp,yes
indexing,yes,dimensions,yes
commenting,yes,disqus,yes
data-and-code-sharing,yes,dryad,yes
indexing,yes,early-evidence-base,yes
peer-review,yes,elife,yes
endorsement,yes,episcience,yes
indexing,yes,europe-pmc,yes
commenting,yes,europepmc-annotation,yes
general-publication,yes,f1000research,yes
commenting,yes,faculty-opinion,yes
data-and-code-sharing,yes,figshare,yes
data-and-code-sharing,yes,github,yes
indexing,yes,google,yes
metrics,yes,google-analytics,yes
indexing,yes,google-scholar,yes
commenting,yes,hypothes-is,yes
endorsement,yes,hypothes-is,yes
indexing,yes,isidore,yes
plagiarism-detection,yes,ithenticate,yes
writing,yes,katex,yes
writing,yes,manuscripts-io,yes
commenting,yes,mathoverflow,yes
indexing,yes,mathscinet,yes
peer-review,yes,mathscinet,yes
metrics,yes,matomo,yes
communication-and-sharing,yes,mendeley,yes
peer-review,yes,meno-science,yes
indexing,yes,meta,yes
indexing,yes,microsoft-academic,yes
indexing,yes,openaire-explore,yes
researcher-identification,yes,orcid,yes
indexing,yes,osf-preprints,yes
indexing,yes,osf-preprints-discover,yes
plagiarism-detection,yes,ouriginal,yes
peer-review,yes,outbreakscience,yes
writing,yes,overleaf,yes
writing,yes,pandoc,yes
indexing,yes,panlingua,yes
metrics,yes,paperbuzz,yes
communication-and-sharing,yes,paperhive,yes
writing,yes,paperrater,yes
peer-review,yes,peer-community-in,yes
endorsement,yes,peer-community-in,yes
peer-review,yes,peerage-of-science,yes
peer-review,yes,peeriodicals,yes
endorsement,yes,peeriodicals,yes
communication-and-sharing,yes,peers,yes
peer-review,yes,peers,yes
general-publication,yes,peers,yes
plagiarism-detection,yes,plagiarism-checker,yes
commenting,yes,plaudit,yes
endorsement,yes,plaudit,yes
metrics,yes,plumx-metrics,yes
peer-review,yes,prelights,yes
endorsement,yes,prelights,yes
indexing,yes,prepubmed,yes
peer-review,yes,prereview,yes
peer-review,yes,publons,yes
indexing,yes,pubmed,yes
commenting,yes,pubpeer,yes
general-publication,yes,pubpub,yes
general-publication,yes,qeios,yes
general-publication,yes,research-publishing-net,yes
peer-review,yes,research-square,yes
endorsement,yes,research-square,yes
researcher-identification,yes,researcherid-publons,yes
communication-and-sharing,yes,researchgate,yes
peer-review,yes,review-commons,yes
peer-review,yes,rr-c19,yes
metrics,yes,rxvist,yes
general-publication,yes,scienceopen,yes
indexing,yes,sciety,yes
indexing,yes,scilit,yes
peer-review,yes,scior,yes
general-publication,yes,scipost,yes
commenting,yes,scirate,yes
indexing,yes,scite,yes
metrics,yes,scite,yes
indexing,yes,share,yes
peer-review,yes,sinai-immunology-review-project,yes
data-and-code-sharing,yes,software-heritage,yes
commenting,yes,stackexchange,yes
general-publication,yes,substance,yes
general-publication,yes,the-winnover,yes
peer-review,yes,transparent-review-in-preprint,yes
commenting,yes,voxcharta,yes
indexing,yes,worldcat,yes
indexing,yes,zbmath,yes
data-and-code-sharing,yes,zenodo,yes
peer-review,yes,zentralblatt,yes
indexing,yes,scanr,yes
indexing,yes,dart-europe,yes
indexing,yes,repec,yes
preservation,yes,software-heritage,yes
indexing,yes,unpaywall,yes
indexing,yes,econbiz,yes
indexing,yes,liebniz-open,yes
indexing,yes,researcher-app,yes
indexing,yes,cab-abstracts,yes
indexing,yes,chemical-abstracts,yes
indexing,yes,scopus,yes
indexing,yes,proquest,yes
indexing,yes,econlit,yes
indexing,yes,ebsco,yes
indexing,yes,openchannels-org,yes
indexing,yes,oaister,yes
indexing,yes,lens,yes
